,Property Name,Price,House Type,Area in sq ft,No. of Bedrooms,No. of Bathrooms,No. of Receptions,Location,City/County,Postal Code
1051,Bradstock Road,725000,Penthouse,1200,3,3,3,Hackney,London,E9 5BZ
1052,Ashby Street,700000,Flat / Apartment,606,2,2,2,Clerkenwell,London,EC1V 0ED
1053,Seward Street,695000,Flat / Apartment,796,2,2,2,Clerkenwell,London,EC1V 3PA
1054,Hans Road,5950000,Flat / Apartment,2817,3,3,3,Knightsbridge,London,SW3 1RW
1055,Richmond Hill,595000,Flat / Apartment,786,2,2,2,Richmond,Surrey,TW10 6QX
1056,Onslow Avenue,2100000,House,2296,4,4,4,Richmond,Surrey,TW10 6QB
1057,Rotherwood Road,1475000,House,1894,4,4,4,Putney,London,SW15 1LA
1058,Larpent Avenue,2950000,House,3336,7,7,7,Putney,London,SW15 6UU
1059,Granard Road,450000,Flat / Apartment,570,2,2,2,,London,SW12 8UJ
1060,Worcester Gardens,550000,Flat / Apartment,672,2,2,2,,London,SW11 6LR
1061,Pall Mall,2250000,Flat / Apartment,1297,2,2,2,St James's,London,SW1Y 5JH
1062,Connaught Avenue,2750000,House,4925,6,6,6,Loughton,Essex,IG10 4DS
1063,Wollaton House,599950,Flat / Apartment,734,1,1,1, Islington,London,N1 0EY
1064,Sandilands Road,850000,House,900,2,2,2,Fulham,London,SW6 2BD
1065,Edenvale Street,825000,Flat / Apartment,1027,3,3,3,Fulham,London,SW6 2SF
1066,Linver Road,1850000,House,1678,5,5,5,Fulham,London,SW6 3RB
1067,Second Avenue,599950,Flat / Apartment,1128,3,3,3,Acton,London,W3 7RX
1068,St. Marys Road,1995000,House,3605,6,6,6, Surbiton,Surrey,KT6 5EU
1069,Ember Lane,1595000,House,3304,6,6,6,Esher,Surrey,KT10 8DZ
1070,Cornwall Gardens,1195000,Flat / Apartment,752,2,2,2,,London,SW7 4BA
1071,Sheen Common Drive,2650000,House,2229,4,4,4,Richmond,Surrey,TW10 5BN
1072,Bishops Gate,1050000,New development,817,2,2,2,82-88 Fulham High Street,London,SW6 3LF
1073,Bishops Gate,695000,New development,678,2,2,2,82-88 Bishops Gate,Fulham High Street,SW6 3LF
1074,Montem Terrace,3895000,New development,4453,6,6,6,35A Arterberry Road,London,SW20 8AG
1075,Belvedere Heights,425000,Flat / Apartment,502,1,1,1, St. John's Wood,London,NW8 8HZ
1076,Ashley Gardens,1300000,House,2484,4,4,4,Richmond,Surrey,TW10 7BU
1077,West Hill,439000,Flat / Apartment,670,2,2,2,Putney,London,SW15 2UF
1078,Westbourne Park Road,4500000,House,2742,6,6,6,Notting Hill,London,W2 5PH
1079,Lynette Avenue,599950,Flat / Apartment,689,1,1,1,,London,SW4 9HD
1080,Ronalds Road,1500000,House,1327,4,4,4,Highbury,London,N5 1XB
1081,Cloudesley Street,625000,Flat / Apartment,513,1,1,1,Islington,London,N1 0HX
1082,Tottenham Road,499999,Flat / Apartment,700,1,1,1,De Beauvoir,London,N1 4BD
1083,Hertford Road,435000,Flat / Apartment,565,1,1,1,,London,N1 5SH
1084,The Chase,2695000,House,3125,4,4,4,,London,SW4 0NH
1085,Wavendon Avenue,2250000,House,2389,5,5,5,Chiswick,London,W4 4NR
1086,Old Brompton Road,3450000,House,2160,4,4,4,,London,SW7 3RA
1087,Castelnau,3250000,House,3098,5,5,5,Barnes,London,SW13 9ET
1088,Dorville Crescent,650000,Flat / Apartment,650,2,2,2,,London,W6 0HJ
1089,Television Centre,1395000,Flat / Apartment,981,2,2,2,101 Wood Lane,London,W12 7FT
1090,Hotham Road,1250000,House,1810,3,3,3,Putney,London,SW15 1QJ
1091,Danemere Street,1150000,House,1468,3,3,3,Putney,London,SW15 1LT
1092,Meadowbank,625000,House,1213,4,4,4, Watford,Hertfordshire,WD19 4NP
1093,Copperbeech Court,575000,Flat / Apartment,1092,2,2,2, Northwood,Middlesex,HA6 2YJ
1094,North Side Wandsworth Common,695000,Flat / Apartment,815,2,2,2,,London,SW18 2SL
1095,Manchuria Road,2100000,House,2325,5,5,5,,London,SW11 6AE
1096,Shelgate Road,1399000,House,1456,3,3,3,Battersea,London,SW11 1BQ
1097,Pearson Square,4750000,Penthouse,1774,3,3,3,Fitzrovia,London,W1T 3BJ
1098,Canonbury Lane,2275000,House,1969,4,4,4,Islington,London,N1 2AP
1099,Lofting Road,599950,Flat / Apartment,657,2,2,2,Islington,London,N1 1ET
1100,Palewell Park,1995000,House,2707,5,5,5,East Sheen,London,SW14 8JH
1101,Kings Road,899000,House,1109,3,3,3,,London,SW14 8PF
1102,Richmond Park Road,1575000,House,2050,5,5,5,,London,SW14 8JU
1103,Osprey Court,850000,Flat / Apartment,655,1,1,1,Star Place,London,E1W 1AG
1104,Fernside Road,1250000,House,1683,4,4,4,,London,SW12 8LN
1105,Bollo Lane,995000,House,1423,5,5,5,Chiswick,London,W4 5LT
1106,Grove Court,2400000,Flat / Apartment,1898,4,4,4,Drayton Gardens,London,SW10 9QY
1107,Kathleen Road,599950,Flat / Apartment,830,3,3,3,Battersea,London,SW11 2JR
1108,Huntspill Street,875000,House,1334,5,5,5,,London,SW17 0AA
1109,Eamont Court,675000,Flat / Apartment,602,2,2,2, St. Johns Wood,London,NW8 7DG
1110,Mandalay Road,925000,Flat / Apartment,1082,2,2,2,,London,SW4 9ED
1111,Mapesbury Road,1300000,House,2547,5,5,5,Brondesbury,London,NW2 4HJ
1112,Birds Hill Road,7500000,House,12526,7,7,7,Oxshott,Surrey,KT22 0NJ
1113,Hereford Square,7450000,House,3997,6,6,6,South Kensington,London,SW7 4TS
1114,Wilton Place,8250000,House,3188,5,5,5,Belgravia,London,SW1X 8RL
1115,College Cross,2395000,House,2212,4,4,4,Islington,London,N1 1PT
1116,Northchurch Road,500000,Flat / Apartment,675,1,1,1,Islington,London,N1 3FL
1117,Canonbury Park South,2550000,House,2241,5,5,5,Canonbury,London,N1 2JG
1118,Upper Place,600000,New development,721,2,2,2, Clapton,London,E5 9BU
1119,Eagle Mews,550000,House,674,2,2,2,Tottenham Road,London,N1 4ST
1120,Brookville Road,1650000,House,1716,5,5,5, Fulham,London,SW6 7BH
1121,Culmington Road,1250000,House,1700,4,4,4,Ealing,London,W13 9NB
1122,Ravens Close,475000,Flat / Apartment,645,2,2,2,Surbiton,Surrey,KT6 4QG
1123,Liberty House,599000,Flat / Apartment,830,2,2,2,Ensign Street,London,E1 8JA
1124,Chestnut Grove,1325000,House,1800,4,4,4,,London,SW12 8JG
1125,Cottenham Park Road,1350000,Flat / Apartment,1862,3,3,3,Wimbledon,London,SW20 0RZ
1126,Craven Gardens,1225000,House,1681,4,4,4,Wimbledon,London,SW19 8LU
1127,Southlands Drive,650000,Flat / Apartment,779,2,2,2,Wimbledon,London,SW19 5QH
1128,Springfield Road,6950000,House,3911,6,6,6,St. John's Wood,London,NW8 0QN
1129,Loudoun Road,4495000,House,2607,4,4,4,St. John's Wood,London,NW8 0LT
1130,Norfolk Mansions,599950,Flat / Apartment,969,3,3,3, Putney,London,SW18 1NU
1131,The Glass House,465000,Flat / Apartment,461,1,1,1, Putney,London,SW15 1PR
1132,Harley Road,749950,Flat / Apartment,650,2,2,2,,London,NW3 3BN
1133,Altenburg Gardens,1050000,Flat / Apartment,1155,2,2,2,,London,SW11 1JL
1134,Harbut Road,650000,Flat / Apartment,684,2,2,2,,London,SW11 2RB
1135,Lavender Gardens,775000,Flat / Apartment,928,2,2,2,,London,SW11 1DN
1136,Kings Hill,1075000,House,2096,4,4,4,Loughton,Essex,IG10 1HY
1137,Oakley Road,625000,Flat / Apartment,676,1,1,1,,London,N1 3LL
1138,The Pryors,1800000,Flat / Apartment,1405,3,3,3, Hampstead,London,NW3 1BS
1139,Gosberton Road,775000,Flat / Apartment,1368,3,3,3,,London,SW12 8LG
1140,Chiswick High Road,2050000,New development,2875,4,4,4,Chiswick,London,W4 5RG
1141,Lonsdale Road,775000,Flat / Apartment,936,2,2,2,Barnes,London,SW13 9PY
1142,Dalebury Road,885000,Flat / Apartment,1258,2,2,2,,London,SW17 7HH
1143,Rosenau Road,2400000,House,2803,6,6,6,Battersea,London,SW11 4QX
1144,Queens Road,2250000,House,2946,4,4,4,Kingston upon Thames,Surrey,KT2 7SN
1145,Vanderbilt Road,1125000,House,1566,5,5,5,,London,SW18 3BG
1146,Alma Road,1000000,House,1306,4,4,4,Wandsworth,London,SW18 1AH
1147,Kennet House,350000,Flat / Apartment,670,2,2,2, Lisson Grove,London,NW8 8HB
1148,Church Road,600000,House,1041,2,2,2,Northwood,Middlesex,HA6 1AR
1149,Clarendon Road,3600000,House,1831,5,5,5,Notting Hill,London,W11 2HW
1150,Roseneath Road,2050000,House,2202,3,3,3,,London,SW11 6AG
1151,Randolph Avenue,1675000,Flat / Apartment,1101,2,2,2,Little Venice,London,W9 1DW
1152,Montagu Square,1375000,Flat / Apartment,1002,2,2,2,Marylebone,London,W1H 2LW
1153,Harley Place,1350000,Mews,993,2,2,2,Marylebone,London,W1G 8QE
1154,Victoria Road,8850000,House,3813,5,5,5,,London,W8 5RF
1155,Edwardes Square,3850000,House,2285,4,4,4,,London,W8 6HE
1156,Canonbury Square,2500000,House,2537,6,6,6,Islington,London,N1 2AU
1157,Tollington Way,575000,New development,840,2,2,2, London,N7 6QX,N7 6RG
1158,Compton Avenue,4650000,House,4653,7,7,7,Highgate,London,N6 4LH
1159,New Road,4950000,House,7043,6,6,6,Esher,Surrey,KT10 9PG
1160,Courtfield Gardens,3750000,Flat / Apartment,1902,4,4,4,,London,SW5 0PH
1161,Buxton Road,1050000,House,1338,3,3,3,,London,SW14 8SY
1162,Newark Street,1775000,House,2200,4,4,4,,London,E1 2AA
1163,Lime Quarter,550000,New development,773,2,2,2,Bow,London,E3 3PJ
1164,Marlborough Road,2700000,House,2953,7,7,7,Chiswick,London,W4 4ET
1165,Chiswick Village,399950,Flat / Apartment,580,2,2,2,Gunnersbury,London,W4 3BY
1166,Carlton House,595000,New development,545,1,1,1,Carlton Drive,London,SW15 2BS
1167,Fulham Road,3200000,House,2988,4,4,4,,London,SW10 9TU
1168,Siddal Apartments,675000,Flat / Apartment,778,2,2,2, Elephant Park,London,SE17 1FQ
1169,Tranmere Road,800000,Flat / Apartment,1428,4,4,4,,London,SW18 3QT
1170,Sheen Road,1200000,House,1662,4,4,4,Richmond,Surrey,TW9 1YJ
1171,Portland Chambers,2395000,Flat / Apartment,1160,2,2,2, Fitzrovia,London,W1W 6RP
1172,Thornhill Crescent,499950,Flat / Apartment,388,1,1,1,,London,N1 1BJ
1173,Worple Street,1800000,House,4225,5,5,5,Mortlake,London,SW14 8HE
1174,Vicarage Road,2300000,House,2800,6,6,6,East Sheen,London,SW14 8RU
1175,The Madison,573000,New development,429,0,0,0,199 To 207 Marsh Wall,London,E14 9YT
1176,Hatton Place,835000,Flat / Apartment,704,2,2,2,Clerkenwell,London,EC1N 8RU
1177,Lonsdale Road,2200000,House,2354,5,5,5, Chiswick,London,W4 1ND
1178,Sinclair Road,700000,Flat / Apartment,680,1,1,1,,London,W14 0NR
1179,Queen Anne's Gate,2775000,Flat / Apartment,1711,3,3,3,St. James's,London,SW1H 9AA
1180,Chapman Square,750000,Flat / Apartment,1076,3,3,3,Wimbledon,London,SW19 5QT
1181,Burntwood Grange Road,1195000,House,1538,3,3,3,,London,SW18 3JY
1182,Melody Road,1425000,House,2173,5,5,5,Wandsworth,London,SW18 2QG
1183,Northiam Street,380000,Flat / Apartment,420,1,1,1,South Hackney,London,E9 7HQ
1184,Middlefield Close,899950,House,2915,5,5,5, Coulsdon,Surrey,CR5 3NX
1185,Fairfax Mews,2000000,House,2149,5,5,5,Putney,London,SW15 6FF
1186,Nicholas Way,2995000,House,5517,7,7,7,Northwood,Middlesex,HA6 2TR
1187,Althorp Road,1490000,House,1875,5,5,5,Bellevue Village,London,SW17 7ED
1188,Hillier Road,1750000,House,2364,5,5,5,,London,SW11 6AX
1189,Basilica Mews,2000000,New development,2347,4,4,4,,Thurleigh Road,SW12 8UF
1190,The Printworks,710000,New development,818,2,2,2, Crouch End,London,N8 9BU
1191,Bishops Gate,915000,New development,810,2,2,2,82-88 Fulham High Street,London,SW6 3LF
1192,Theberton Street,2000000,House,2078,4,4,4,Barnsbury,London,N1 0QY
1193,Halton Road,425000,Flat / Apartment,495,1,1,1,Canonbury,London,N1 2EN
1194,Hornsey Street,499950,Flat / Apartment,656,2,2,2,Lower Holloway,London,N7 8HE
1195,Wentworth Mansions,1050000,Flat / Apartment,1186,3,3,3,Keats Grove,London,NW3 2RL
1196,Hurlingham Square,1150000,House,1906,5,5,5, Fulham,London,SW6 3DZ
1197,Tantallon Road,1325000,House,1795,4,4,4,,London,SW12 8DQ
1198,Liberty Mews,895000,House,1112,3,3,3,,London,SW12 8EE
1199,Landmark Place At Tower Bridge,1499995,New development,1142,2,2,2,Water Lane,London,EC3R 6EA
1200,Esmond Road,550000,Flat / Apartment,853,2,2,2,Chiswick,London,W4 1JG
1201,Elm Park Mansions,550000,Flat / Apartment,500,1,1,1,Park Walk,London,SW10 0AN
1202,Archway Street,1050000,House,1261,3,3,3,Barnes,London,SW13 0AR
1203,Warriner Gardens,1785000,House,2061,5,5,5,Battersea,London,SW11 4DU
1204,Vandon Court,450000,Studio,332,0,0,0, Westminster,London,SW1H 9HE
1205,Selhurst Close,375000,Flat / Apartment,515,1,1,1,Wimbledon,London,SW19 6AY
1206,Lowndes Square,5500000,Flat / Apartment,1973,3,3,3,Belgravia,London,SW1X 9JX
1207,Mount Ararat Road,2850000,House,3008,5,5,5,Richmond,Surrey,TW10 6PQ
1208,Mount Ararat Road,2450000,House,2300,5,5,5,Richmond,Surrey,TW10 6PH
1209,Copse Wood Way,1600000,House,2071,4,4,4,Northwood,Middlesex,HA6 2TZ
1210,Hale End Road,450000,Flat / Apartment,790,2,2,2,Woodford Green,Essex,IG8 9LL
1211,Bishops Gate,2000000,New development,1688,4,4,4,82-88 Fulham High Street,London,SW6 3LF
1212,Offord Road,1595000,House,1828,3,3,3,Barnsbury,London,N1 1PF
1213,Walpole Court,600000,Flat / Apartment,780,2,2,2,27-33 Fairfax Road,London,NW6 4ES
1214,Pavilion Park,545000,New development,767,2,2,2, East Molesey,Surrey,KT8 9DX
1215,Ormeley Road,995000,House,1310,4,4,4,,London,SW12 9QG
1216,Valetta Road,1050000,House,1355,4,4,4,Wendell Park,London,W3 7TQ
1217,Hudson House,1385000,Flat / Apartment,990,3,3,3,Hortensia Road,London,SW10 0QR
1218,Claremont Lodge,650000,Flat / Apartment,1106,2,2,2, Wimbledon,London,SW20 8UA
1219,Albert Court,10950000,Flat / Apartment,3111,3,3,3,Prince Consort Road,London,SW7 2BH
1220,Wimbledon Park Road,375000,Flat / Apartment,525,1,1,1,Putney,London,SW18 5SJ
1221,Normanby Close,899000,House,1168,3,3,3,Putney,London,SW15 2RL
1222,Sefton Street,995000,House,1055,3,3,3,Putney,London,SW15 1NA
1223,Werter Road,1695000,House,2368,5,5,5,Putney,London,SW15 2LJ
1224,Lockyer House,495000,Flat / Apartment,815,2,2,2, Putney,London,SW15 1EE
1225,Ainger Road,775000,Flat / Apartment,665,2,2,2,Primrose Hill,London,NW3 3AR
1226,The Drive,950000,House,2348,4,4,4,Northwood,Middlesex,HA6 1HW
1227,Halland Way,1750000,House,4387,4,4,4,Northwood,Middlesex,HA6 2BY
1228,Thornton Place,1150000,Flat / Apartment,1582,3,3,3,Clapham Common North Side,London,SW4 0AB
1229,Sheldon Avenue,4400000,House,4102,5,5,5,Highgate,London,N6 4JS
1230,Bartholomew Road,2300000,House,2362,5,5,5,Kentish Town,London,NW5 2AJ
1231,Nevern Mansions,625000,Flat / Apartment,676,1,1,1,42 Warwick Road,London,SW5 9TJ
1232,Graemesdyke Avenue,1300000,House,1496,4,4,4,,London,SW14 7BJ
1233,Garrett Street,849999,Flat / Apartment,802,2,2,2,,London,EC1Y 0TY
1234,Chiswick High Road,525000,New development,581,1,1,1,Chiswick,London,W4 5RG
1235,Marian Lodge,635000,Flat / Apartment,936,2,2,2, Wimbledon,London,SW20 8HJ
1236,South Park Road,1550000,House,1884,4,4,4,Wimbledon,London,SW19 8SZ
1237,Beacon Tower,1000000,Penthouse,1190,3,3,3, Wandsworth,London,SW18 4GN
1238,Basil Mansions,5500000,Flat / Apartment,2497,3,3,3,Basil Street,London,SW3 1AP
1239,Rossway Drive,600000,House,1202,4,4,4,Bushey,Hertfordshire,WD23 3EW
1240,Wendover Court,1325000,Flat / Apartment,779,2,2,2, Marylebone,London,W1U 7NX
1241,Furze Field,6950000,New development,11177,6,6,6,Oxshott,Surrey,KT22 0UR
1242,Halliford Street,950000,Flat / Apartment,1023,2,2,2,Canonbury,London,N1 3EJ
1243,Tollington Way,430000,New development,538,1,1,1, London,N7 6QX,N7 6RG
1244,Malthouse Court,700000,Flat / Apartment,1121,2,2,2, Brentford,Middlesex,TW8 0FR
1245,Cairn Avenue,1150000,House,1580,4,4,4,Ealing,London,W5 5HX
1246,Eaton Rise,795000,New development,989,3,3,3,,London,W5 2HE
1247,Redcliffe Gardens,1150000,Flat / Apartment,911,2,2,2,,London,SW10 9JJ
1248,Gosberton Road,1450000,House,2000,5,5,5,,London,SW12 8LG
1249,Kirkstall Road,1550000,House,2328,5,5,5,,London,SW2 4HF
1250,Morton Apartments,730000,Penthouse,1127,3,3,3,Royal Albert Wharf,London,E16 2QJ
1251,Knowsley Road,860000,House,1010,2,2,2,Battersea,London,SW11 5BL
1252,Bangalore Street,1295000,House,1940,5,5,5,Putney,London,SW15 1QD
1253,Ross Court,595000,Flat / Apartment,1452,3,3,3, Putney,London,SW15 3NY
1254,Wroughton Road,1600000,House,1875,4,4,4,,London,SW11 6BG
1255,Portland Chambers,3995000,New development,2694,3,3,3, Fitzrovia,London,W1W 6RP
1256,Daleham Mews,3000000,House,2011,4,4,4,Belsize Park,London,NW3 5DB
1257,Ringmer Avenue,2500000,House,2907,5,5,5,Fulham,London,SW6 5LW
1258,Meadows House,6350000,Penthouse,4689,4,4,4, Fulham,London,SW6 2FQ
1259,Manor Road South,1350000,House,2545,4,4,4,Esher,Surrey,KT10 0PY
1260,Deanhill Road,1175000,House,1263,3,3,3,East Sheen,London,SW14 7DF
1261,Cupar Road,2100000,House,2360,4,4,4,Battersea,London,SW11 4JW
1262,Ordish Apartments,745000,Flat / Apartment,1181,3,3,3,162 Gideon Road,London,SW11 5ET
1263,Spencer Hill,2450000,House,3831,5,5,5,Wimbledon,London,SW19 4NY
1264,Pepys Road,2295000,House,4569,5,5,5,Wimbledon,London,SW20 8NP
1265,Dudley Road,2395000,House,2443,5,5,5,Wimbledon,London,SW19 8PN
1266,Tannery House,1250000,Penthouse,1600,2,2,2, Spitalfields,London,E1 5AG
1267,Gaumont Tower,850000,Flat / Apartment,1254,3,3,3, Dalston,London,E8 3BQ
1268,Hasker Street,2975000,House,1522,3,3,3,,London,SW3 2LQ
1269,River Lane,7500000,House,6863,5,5,5,Richmond,Surrey,TW10 7AG
1270,Townshend Terrace,1285000,House,1011,3,3,3,Richmond,Surrey,TW9 1XJ
1271,Roehampton Vale,795000,House,2472,5,5,5,Putney,London,SW15 3PG
1272,Weldin Mews,835000,House,1297,3,3,3,Putney,London,SW18 1FT
1273,Bishops Avenue,925000,Bungalow,1270,2,2,2,Northwood,Middlesex,HA6 3DD
1274,Wildacres,1595000,House,3578,5,5,5,Northwood,Middlesex,HA6 3JD
1275,Dorlcote Road,3500000,House,3709,7,7,7,Wandsworth,London,SW18 3RT
1276,Henderson Road,3500000,House,4095,5,5,5,,London,SW18 3RR
1277,Tregarvon Road,730000,Flat / Apartment,833,2,2,2,,London,SW11 5QE
1278,Chiltern Way,995000,House,1889,4,4,4,Woodford Green,Essex,IG8 0RQ
1279,Ollards Grove,1395000,House,2427,5,5,5,Loughton,Essex,IG10 4DW
1280,Ovington Street,3850000,House,1643,3,3,3,,London,SW3 2JA
1281,Cloudesley Place,1200000,House,1298,4,4,4,Barnsbury,London,N1 0JA
1282,Remington Street,1050000,House,1206,2,2,2,Islington,London,N1 8DH
1283,Balls Pond Road,575000,Flat / Apartment,1034,2,2,2,De Beauvoir,London,N1 4BW
1284,Annette Road,575000,Flat / Apartment,741,2,2,2,Holloway,London,N7 6PE
1285,Southgate Court,449950,Flat / Apartment,759,3,3,3,Southgate Road,London,N1 3JR
1286,Noel Road,2650000,House,2311,2,2,2,Islington,London,N1 8HA
1287,Highbury Gardens,500000,Flat / Apartment,492,1,1,1,52 Holloway Road,London,N7 8BU
1288,Lodge Mews,1050000,House,1248,4,4,4,Aberdeen Park,London,N5 2BD
1289,Wenlock Road,629000,Flat / Apartment,640,2,2,2,Islington,London,N1 7SL
1290,Heathside,499950,Flat / Apartment,690,2,2,2, Golders Green,London,NW11 7SB
1291,Walham Yard,1690000,House,2099,4,4,4,Fulham,London,SW6 1JA
1292,The Mount,1650000,House,2644,4,4,4,Esher,Surrey,KT10 8LQ
1293,The Mount,1995000,House,5982,5,5,5,Esher,Surrey,KT10 8LQ
1294,Wapping Lane,450000,Studio,680,0,0,0,,London,E1W 2RX
1295,Carlton House,730000,New development,665,2,2,2,London,27 Carlton Drive,SW15 2BS
1296,Chelsea Park Gardens,4950000,House,2079,5,5,5,,London,SW3 6AE
1297,Simmons Lane,350000,New development,678,1,1,1,,London,E4 6JH
1298,Welbeck Court,500000,Flat / Apartment,564,2,2,2, West Kensington,London,W14 8XW
1299,Wandle Road,1450000,House,1981,3,3,3,,London,SW17 7DL
1300,Horseferry Road,1995000,House,2188,4,4,4,Westminster,London,SW1P 2EE
1301,Barmouth Road,1250000,House,1962,5,5,5,Wandsworth,London,SW18 2DP
1302,Melody Road,1750000,House,2266,5,5,5,Wandsworth,London,SW18 2QF
1303,Jessica Road,1675000,House,2485,6,6,6,Wandsworth,London,SW18 2QN
1304,Southborough Road,1700000,House,1958,4,4,4,South Hackney,London,E9 7EF
1305,Quaker Street,799950,Penthouse,842,2,2,2,Shoreditch,London,E1 6SY
1306,Dovehouse Street,7450000,House,3285,5,5,5,,London,SW3 6JZ
1307,Watcombe Cottages,900000,House,836,2,2,2,Richmond,Surrey,TW9 3BD
1308,Roehampton Gate,2100000,House,2565,5,5,5,Putney,London,SW15 5JS
1309,Upper Montagu Street,995000,Flat / Apartment,836,2,2,2,,London,W1H 1RP
1310,Offord Road,435000,Flat / Apartment,439,1,1,1,Barnsbury,London,N1 1LR
1311,Upper Street,565000,Flat / Apartment,793,2,2,2,,London,N1 2TZ
1312,Lancaster Stables,1450000,Mews,1568,4,4,4, Belsize Park,London,NW3 4PH
1313,Blackhills,3495000,House,7886,6,6,6,Esher,Surrey,KT10 9JP
1314,Landmark Place At Tower Bridge,2995000,New development,1446,2,2,2,Water Lane,London,EC3R 6EA
1315,Landmark Place At Tower Bridge,2495000,New development,1163,2,2,2,Water Lane,London,EC3R 6EA
1316,Anhalt Road,3050000,House,2599,5,5,5,Battersea,London,SW11 4NX
1317,Melody Road,1450000,House,1669,4,4,4,Wandsworth,London,SW18 2QW
1318,Trefoil Road,1450000,House,2136,5,5,5,,London,SW18 2EQ
1319,Oakside Court,500000,New development,808,2,2,2, Northwood,Middlesex,HA6 1AW
1320,Basilica Mews,2100000,New development,2132,4,4,4,,Thurleigh Road,SW12 8UF
1321,Bishops Gate,2000000,New development,1693,4,4,4,82-88 Fulham High Street,London,SW6 3LF
1322,Wallace Road,899000,Flat / Apartment,1003,2,2,2,Islington,London,N1 2PG
1323,"The oTTo, Hackney",995000,New development,1561,3,3,3, Clapton,E5 8DE,E5 8DS
1324,Chelsea Creek Tower,1399000,Flat / Apartment,1351,2,2,2, Fulham,London,SW6 2RQ
1325,Banyan House,1250000,Flat / Apartment,1253,3,3,3, Fulham,London,SW6 2PT
1326,Worple Street,800000,House,1018,2,2,2,Mortlake,London,SW14 8HE
1327,Thirlmere Road,650000,Flat / Apartment,877,2,2,2,,London,SW16 1QW
1328,Lime Quarter,490000,New development,695,2,2,2,Bow,London,E3 3QH
1329,Kew Bridge Road,765000,New development,858,2,2,2,Brentford,Middlesex,TW8 0RF
1330,Charles Street,699950,New development,756,2,2,2,Barnes,London,SW13 0NZ
1331,St. Stephens Avenue,2650000,House,2607,5,5,5,,London,W12 8JA
